Strategy,id,cmpid,nrOfMisses,nrOfInputs,depth,status,totalTime,nrOfOffsets,cyclomatic,oviedo,chain_size,cases,depth2,trace_length,flipped,reachableness,combined
MagicByteStrategy,1834228663_1037775_0_32,1834228663,0,0,131,NOT_FLIPPED,3.5762786865234375e-05,0,-,-,-,-,131,143,0,0,1
MagicByteStrategy,1903821429_441853_1_32,1903821429,0,0,127,NOT_FLIPPED,6.437301635742188e-05,0,37,512,11,0,127,136,0,0,1
MagicByteStrategy,3229190182_123636_1_38,3229190182,4,14,150,NOT_FLIPPED,0.14334940910339355,2,4,39,1,0,150,203,0,6,1
MagicByteStrategy,1903848753_539393_0_32,1903848753,0,0,55,NOT_FLIPPED,5.0067901611328125e-05,0,12,153,19,0,55,89,0,0,1
MagicByteStrategy,3229184935_960866_1_32,3229184935,0,0,155,NOT_FLIPPED,5.841255187988281e-05,0,3,36,9,0,155,203,0,0,1
MagicByteStrategy,1834300834_96084_0_32771,1834300834,0,0,136,NOT_FLIPPED,0.00015664100646972656,0,-,-,-,-,136,143,0,0,1
MagicByteStrategy,1834300834_520974_0_32,1834300834,0,0,135,NOT_FLIPPED,5.030632019042969e-05,0,-,-,-,-,135,143,0,0,1
MagicByteStrategy,1834228663_96084_1_32,1834228663,0,0,131,NOT_FLIPPED,5.221366882324219e-05,0,-,-,-,-,131,139,0,0,1
MagicByteStrategy,1834300834_930920_0_32,1834300834,0,0,135,NOT_FLIPPED,5.173683166503906e-05,0,-,-,-,-,135,143,0,0,1
MagicByteStrategy,1903821462_96084_0_32,1903821462,0,0,129,NOT_FLIPPED,6.699562072753906e-05,0,37,512,14,0,129,139,0,0,1
MagicByteStrategy,1903841097_726465_2_511,1903841097,12,14,146,NOT_FLIPPED,0.1270902156829834,1,14,206,3,2,146,204,0,52,1
MagicByteStrategy,1834228663_1037775_0_32771,1834228663,0,0,132,NOT_FLIPPED,7.963180541992188e-05,0,-,-,-,-,132,143,0,0,1
MagicByteStrategy,3229195660_123636_1_40,3229195660,4,14,151,NOT_FLIPPED,0.13794159889221191,2,4,39,5,0,151,203,0,8,1
MagicByteStrategy,1903841097_726465_0_511,1903841097,0,1,147,FLIPPED_CONDITION,0.052523136138916016,1,14,206,3,2,147,204,1,53,1
MagicByteStrategy,1903821363_441853_1_32771,1903821363,0,0,185,NOT_FLIPPED,6.794929504394531e-05,0,37,512,5,0,185,194,0,0,1
MagicByteStrategy,1903851228_539393_1_32771,1903851228,0,0,86,NOT_FLIPPED,6.175041198730469e-05,0,12,153,19,0,86,89,0,0,1
MagicByteStrategy,1416571440_582185_0_34,1416571440,0,1,127,FLIPPED_CONDITION,0.003818511962890625,2,246,2690,14,0,127,129,1,2,1
MagicByteStrategy,1834300834_441853_1_32771,1834300834,0,0,136,NOT_FLIPPED,0.00010204315185546875,0,-,-,-,-,136,142,0,0,1
MagicByteStrategy,1903821429_441853_0_32771,1903821429,0,0,128,NOT_FLIPPED,5.4836273193359375e-05,0,37,512,11,0,128,139,0,0,1
MagicByteStrategy,3229184935_101179_1_32771,3229184935,0,0,157,NOT_FLIPPED,4.553794860839844e-05,0,3,36,9,0,157,204,0,0,1
MagicByteStrategy,4158871574_582185_0_32771,4158871574,0,0,124,NOT_FLIPPED,4.649162292480469e-05,0,246,2690,6,0,124,128,0,0,1
MagicByteStrategy,3229184935_726465_1_288,3229184935,0,0,131,NOT_FLIPPED,5.745887756347656e-05,0,3,36,9,0,131,182,0,0,1
MagicByteStrategy,1903821429_930920_0_32,1903821429,0,0,127,NOT_FLIPPED,6.008148193359375e-05,0,37,512,11,0,127,139,0,0,1
MagicByteStrategy,1903848126_1037775_1_32,1903848126,0,3,139,FLIPPED_CONDITION,0.009507417678833008,2,37,512,3,0,139,140,1,2,1
MagicByteStrategy,1903825323_1037775_1_32771,1903825323,0,0,152,NOT_FLIPPED,4.124641418457031e-05,0,37,512,39,0,152,237,0,0,1
MagicByteStrategy,1903829184_582185_1_32,1903829184,0,0,128,NOT_FLIPPED,3.0994415283203125e-05,0,246,2690,18,0,128,132,0,0,1
